,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
191,Discharge allowed,Allowing discharging in professional mode for the bidirectional power transfer function (BPT) is selected from customer or not (ON/OFF).,Charging EV,Discharge allowed,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​dischargeAllowed,boolean,"true, false",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​dischargeAllowed"": ""Charging EV Discharge allowed"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​settings.​biDirectionalCharging.​dischargeAllowed"": ""Charging EV Discharge allowed"","
192,Charging timer type,"Charging profile timer type (e.g., Weekdays or TwoTimesTimer)",Charging EV,Timer type,,,vehicle.​drivetrain.​electricEngine.​charging.​profile.​timerType,string,-,-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​timerType"": ""Charging EV Timer type"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​profile.​timerType"": ""Charging EV Timer type"","
193,Reason charging ended,"Reason for the end of charging, from SP25 on.",Charging EV,Charging end cause,,,vehicle.​drivetrain.​electricEngine.​charging.​reasonChargingEnd,string,"NO_CHARGING_END_SINCE_IPF_WAKEUP, CUSTOMER_INTERACTION_HMI_UNPLUG_CABLE_ONCE, CUSTOMER_INTERACTION_HMI_CHARGING_TARGET_REACHED, CUSTOMER_INTERACTION_APP_UNPLUG_CABLE_ONCE, CUSTOMER_INTERACTION_APP_CHARGING_TARGET_REACHED, CUSTOMER_INTERACTION_CHARGING_STOP_VIA_CHARGING_STOP_BUTTON_SOCKET, CUSTOMER_INTERACTION_AC_CHARGING_STOP_VIA_KEY, CUSTOMER_INTERACTION_AC_CHARGING_STOP_WALLBOX, CUSTOMER_INTERACTION_AC_CHARGING_STOP_LATCH, HV_BATTERY_FULLY_CHARGED, INFRASTRUCTURE_PHYSICAL_LIMITS_REACHED_TARGET_SOE_NOT_REACHABLE, INFRASTRUCTURE_DC_CCS_EVSE_SHUTDOWN, INFRASTRUCTURE_DC_GBT_CST_MESSAGE, INFRASTRUCTURE_DC_CCS_STATIC_PILOT, INFRASTRUCTURE_DC_CCS_COMMUNICATION_ERROR_FAILED_RESPONSE_CODE, INFRASTRUCTURE_DC_CCS_COMMUNICATION_ERROR, INFRASTRUCTURE_NO_ENERGY_TRANSFER, INFRASTRUCTURE_DC_CCS_PRECHARGE_ERROR, INFRASTRUCTURE_DC_CCS_EVSE_MALFUNCTION_EMERGENCY_SHUTDOWN, INFRASTRUCTURE_STATION_NOT_COMPATIBLE, INFRASTRUCTURE_CHARGE_READINESS_TIMEOUT, INFRASTRUCTURE_AC_MAXIMUM_GRID_ERROR_REACHED, INFRASTRUCTURE_DC_GBT_ISOLATION_ERROR_DETECTED, INFRASTRUCTURE_AUTHENTIFICATION_ERROR, VEHICLE_HV_BATTERY_ERROR, VEHICLE_HV_BATTERY_COMMUNICATION_ERROR, VEHICLE_DCDC_ERROR, VEHICLE_PLC_BOOTUP_ERROR, VEHICLE_HV_BATTERY_MAXIMAL_CURRENT_OVERSHOOT, VEHICLE_ISOLATION_ERROR, VEHICLE_MAXIMUM_TEMPERATURE_CHARGING_SOCKET_OVERSHOOT, VEHICLE_LT3_OVERSHOOT, VEHICLE_FUSI_CABLE_LOCK_ERROR, VEHICLE_PLC_COMMUNICATION_NOT_POSSIBLE, FLEXCHARGER_GRID_ERROR, FLEXCHARGER_GRID_TEMPERATURE_ERROR, FLEXCHARGER_EVSE_TEMPERATURE_ERROR, FLEXCHARGER_EVSE_INTERNAL_ERROR, FLEXCHARGER_AC_DC_FAULT_CURRENT, FLEXCHARGER_INCORRECT_REACTION_TIME_PWM, FLEXCHARGER_CHARGING_CURRENT_TOO_HIGH, FLEXCHARGER_PE_FAULT, INFRASTRUCTURE_INEFFICIENT_CHARGING_LOW_POWER, VEHICLE_CABLE_LOCKING_ERROR, VEHICLE_CONFIGURATION_ERROR_400V_800V, INFRASTRUCTURE_NO_AC_VOLTAGE, PLUG_AND_CHARGE_TLS_ERROR, PLUG_AND_CHARGE_CONTRACT_ERROR, SMART_CHARGING_TARIFF_SELECTION_INVALID, SMART_CHARGING_CHARGING_PROFILE_INVALID, CUSTOMER_INTERACTION_AC_CHARGING_STOP_VIA_APP, CHARGING_PAUSED, DISCHARGE_NOT_POSSIBLE_VOLTAGE_TOO_HIGH, DISCHARGE_NOT_POSSIBLE_SOE_TOO_LOW, DISCHARGE_NOT_POSSIBLE_INTERNAL_ERROR, DISCHARGE_NOT_POSSIBLE_INCOMPATIBLE_ADAPTER, DISCHARGE_NOT_POSSIBLE_INCOMPATIBLE_CONSUMER",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​reasonChargingEnd"": ""Charging EV Charging end cause"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​reasonChargingEnd"": ""Charging EV Charging end cause"","
194,Route optimized charging status,Indicates the charging status in cases where e-route charging is used by the customer for his journey. E-route charging sessions have two distinct phases. Route optimzed charging sessions override the customer target state of charge temporarily.,Charging EV,Route optimized charging state,,,vehicle.​drivetrain.​electricEngine.​charging.​routeOptimizedChargingStatus,string,"ROUTE_OPTIMIZED_CHARGING_IN_PROGRESS, ROUTE_OPTIMIZED_SOC_TARGET_REACHED",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​routeOptimizedChargingStatus"": ""Charging EV Route optimized charging state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​routeOptimizedChargingStatus"": ""Charging EV Route optimized charging state"","
195,Energy required until high-voltage battery fully charged,This value indicates the amount of energy required to fully charge the battery.,Charging EV,Energy to full charge,,,vehicle.​drivetrain.​electricEngine.​charging.​smeEnergyDeltaFullyCharged,float,"0 - 300 kWh, INVALID",kWh,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​smeEnergyDeltaFullyCharged"": ""Charging EV Energy to full charge"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​smeEnergyDeltaFullyCharged"": ""Charging EV Energy to full charge"","
196,Charging status,"This value indicates the current charging status of the vehicle at the time of data collection. For example, NOCHARGING means that the vehicle's high-voltage battery is currently not being charged. INITIALIZATION means that the charging process is just being prepared, while CHARGINGACTIVE means that the battery is just being charged. Other possible values are: CHARGINGPAUSED (charging paused), CHARGINGENDED (charging ended) and CHARGINGERROR (charging error).",Charging EV,Charging state,,,vehicle.​drivetrain.​electricEngine.​charging.​status,string,"MANUAL_SELECTION, AUTOMATIC_SELECTION, AUTOMATIC_SELECTION_20, UNKNOWN",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​status"": ""Charging EV Charging state"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​status"": ""Charging EV Charging state"","
197,Estimate of remaining charging time,This value indicates the estimated remaining charging time in minutes.,Charging EV,Remaining time estimate,,,vehicle.​drivetrain.​electricEngine.​charging.​timeRemaining,uint16,0 - 200 Min,min,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​timeRemaining"": ""Charging EV Remaining time estimate"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​timeRemaining"": ""Charging EV Remaining time estimate"","
198,Calculated remaining charging time of the high-voltage battery,"This value indicates the calculated time (in minutes) until the high-voltage battery is fully charged. If a navigation destination has been set, the time remaining until reaching the destination will be displayed.",Charging EV,Time to full charge,,,vehicle.​drivetrain.​electricEngine.​charging.​timeToFullyCharged,uint16,"0 – 65500 Min, INVALID",min,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​timeToFullyCharged"": ""Charging EV Time to full charge"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​timeToFullyCharged"": ""Charging EV Time to full charge"","
199,Charging window selection,Indicates a pre-defined time window in which the high-voltage battery of the vehicle should be charged. The value could be either NOTCHOSEN or CHOSEN.,Charging EV,Window selection,,,vehicle.​drivetrain.​electricEngine.​charging.​windowSelection,string,"CHOSEN, NOTCHOSEN, -NA-",-,,,,"""vehicle.​drivetrain.​electricEngine.​charging.​windowSelection"": ""Charging EV Window selection"",",,"""vehicle.​drivetrain.​electricEngine.​charging.​windowSelection"": ""Charging EV Window selection"","
201,Maximum energy content of the high-voltage battery,This value indicates the maximum available energy content of the high-voltage battery.,Range EV,Battery energy max,,,vehicle.​drivetrain.​electricEngine.​hvsMaxEnergyAbsolute,-,"0 - 300 kWh, INVALID",kWh,,,,"""vehicle.​drivetrain.​electricEngine.​hvsMaxEnergyAbsolute"": ""Range EV Battery energy max"",",,"""vehicle.​drivetrain.​electricEngine.​hvsMaxEnergyAbsolute"": ""Range EV Battery energy max"","
202,Remaining electric range in km or mi,This value indicates the remaining electric range at the time of data collection.,Range EV,Remaining range,,,vehicle.​drivetrain.​electricEngine.​kombiRemainingElectricRange,float,"0 km to 4000 km or 0 mi to 2485 mi, INVALID",-,,,,"""vehicle.​drivetrain.​electricEngine.​kombiRemainingElectricRange"": ""Range EV Remaining range"",",,"""vehicle.​drivetrain.​electricEngine.​kombiRemainingElectricRange"": ""Range EV Remaining range"","
203,Estimate of electric range during charging,This value indicates the electric range predicted during charging.,Range EV,Estimate during charging,,,vehicle.​drivetrain.​electricEngine.​remainingElectricRange,float,0 - 1000 km,km,,,,"""vehicle.​drivetrain.​electricEngine.​remainingElectricRange"": ""Range EV Estimate during charging"",",,"""vehicle.​drivetrain.​electricEngine.​remainingElectricRange"": ""Range EV Estimate during charging"","
205,State of ignition,This value indicates whether the ignition was on or off at the time of data collection or whether the status is unknown.,Vehicle,ignition state,,,vehicle.​drivetrain.​engine.​isActive,boolean,"ASN_isFalse, ASN_isTrue, ASN_isUnknown",-,,,,"""vehicle.​drivetrain.​engine.​isActive"": ""Vehicle ignition state"",",,"""vehicle.​drivetrain.​engine.​isActive"": ""Vehicle ignition state"","
206,Status of engine (on/off),This value indicates whether the engine was on or off at the time of data collection or whether the status is unknown.,Vehicle,engine state,,,vehicle.​drivetrain.​engine.​isIgnitionOn,boolean,"ASN_isFalse, ASN_isTrue, ASN_isUnknown",-,,,,"""vehicle.​drivetrain.​engine.​isIgnitionOn"": ""Vehicle engine state"",",,"""vehicle.​drivetrain.​engine.​isIgnitionOn"": ""Vehicle engine state"","
208,OBFCM* total fuel consumption during operation when the battery is discharged (PHEV only),This value indicates the amount of fuel consumption when the combustion engine switches on even though the battery is not flat.,OBFCM PHEV,Fuel consumption (engine off),,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​fuel,float,0.00 l - 30000.00 l,l,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​fuel"": ""OBFCM PHEV Fuel consumption (engine off)"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​fuel"": ""OBFCM PHEV Fuel consumption (engine off)"","
209,OBFCM* reference distance during electric mode and when the combustion engine is inactive (PHEV only),This value indicates the distance travelled during electric mode and when the combustion engine is inactive.,OBFCM PHEV,Reference distance (engine off),,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOff,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOff"": ""OBFCM PHEV Reference distance (engine off)"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOff"": ""OBFCM PHEV Reference distance (engine off)"","
210,OBFCM* reference distance during electric mode and when the combustion engine is active (PHEV only),This value indicates the distance travelled during electric mode and when the combustion engine is active.,OBFCM PHEV,Reference distance (engine on),,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOn,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOn"": ""OBFCM PHEV Reference distance (engine on)"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeDepleting.​referenceDistanceEngineOn"": ""OBFCM PHEV Reference distance (engine on)"","
211,OBFCM* total fuel consumption during charging mode (PHEV only),"This value describes the fuel consumed during charging mode, i.e. PHEV charges the high-voltage battery using the combustion engine.",OBFCM PHEV,Fuel consumption (charging mode),,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​fuel,float,0.00 l - 30000.00 l,l,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​fuel"": ""OBFCM PHEV Fuel consumption (charging mode)"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​fuel"": ""OBFCM PHEV Fuel consumption (charging mode)"","
212,OBFCM* reference distance during charging mode,"This value indicates the distance travelled during charging mode, i.e. PHEV charges the high-voltage battery.",OBFCM,Reference distance (charging mode),,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​referenceDistance,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​referenceDistance"": ""OBFCM Reference distance (charging mode)"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​inChargeIncreasing.​referenceDistance"": ""OBFCM Reference distance (charging mode)"","
213,Total fuel consumption according to legal OBFCM* specifications,"This value indicates the amount of fuel consumed in litres, measured over the reference distance.",OBFCM,Fuel consumption total,,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​fuel,float,0.00 l - 30000.00 l,l,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​fuel"": ""OBFCM Fuel consumption total"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​fuel"": ""OBFCM Fuel consumption total"","
214,OBFCM* reference distance for measuring the fuel consumption,This value indicates the reference distance for measuring fuel consumption.,OBFCM,Reference distance total,,,vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​referenceDistance,float,0.0 km - 250000.0 km,km,,,,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​referenceDistance"": ""OBFCM Reference distance total"",",,"""vehicle.​drivetrain.​fuelSystem.​consumptionOverLifeTime.​overall.​referenceDistance"": ""OBFCM Reference distance total"","
216,Tank level in %,This value indicates the tank level in percent at the time of data collection.,Range,Tank level (%),,,vehicle.​drivetrain.​fuelSystem.​level,uint8,"0 % to 100 %, INVALID",%,,,,"""vehicle.​drivetrain.​fuelSystem.​level"": ""Range Tank level (%)"",",,"""vehicle.​drivetrain.​fuelSystem.​level"": ""Range Tank level (%)"","
217,Tank content,"The value indicates the current fuel tank level in litres or gallons at the time of data collection. Depending on the position of the tank float, the specified value may differ by up to 6 litres or 1.6 gallons.",Range,Tank level,,,vehicle.​drivetrain.​fuelSystem.​remainingFuel,float,0 L to 100 L or 0 gal to 26.5 gal,-,,,,"""vehicle.​drivetrain.​fuelSystem.​remainingFuel"": ""Range Tank level"",",,"""vehicle.​drivetrain.​fuelSystem.​remainingFuel"": ""Range Tank level"","
219,Coolant temperature,The value indicates the current coolant temperature in degrees centigrade or Fahrenheit at the time of data collection.,Vehicle,Coolant temperature,,,vehicle.​drivetrain.​internalCombustionEngine.​engine.​ect,int16,0 °C to 150 °C or 32 °F to 302 °F,Celsius,,,,"""vehicle.​drivetrain.​internalCombustionEngine.​engine.​ect"": ""Vehicle Coolant temperature"",",,"""vehicle.​drivetrain.​internalCombustionEngine.​engine.​ect"": ""Vehicle Coolant temperature"","
221,Last sent remaining range,Last sent remaining range electric + fuel sent by the vehicle. Range from vehicle Kombi (Queried for PHEV and CE vehicles). Delivers e-range + ce range for PHEV. Ce Range for CE vehicles. Likely 0 for BEV vehicles. This value should only be used for combustion cars. Electric cars should read Vehicle.Drivetrain.ElectricEngine.KombiRemainingElectricRange.,Range,Total range (last sent),Range,Rotal range (last sent),vehicle.​drivetrain.​lastRemainingRange,float,0-6500,km,,,,"""vehicle.​drivetrain.​lastRemainingRange"": ""Range Total range (last sent)"",",,"""vehicle.​drivetrain.​lastRemainingRange"": ""Range Total range (last sent)"","
222,Estimate of total range during charging,This value indicates the total range predicted during charging (total of electric range and combustion engine range).,Range,Estimate during charging,,,vehicle.​drivetrain.​totalRemainingRange,float,0 - 2000 km,km,,,,"""vehicle.​drivetrain.​totalRemainingRange"": ""Range Estimate during charging"",",,"""vehicle.​drivetrain.​totalRemainingRange"": ""Range Estimate during charging"","
224,Necessity for recharging of the battery,This value indicates whether recharging of the battery is necessary. 1 = Recharging necessary 0 = Recharging not necessary,Battery,recharge required,,,vehicle.​electricalSystem.​battery.​serviceDemand.​recharge,-,1 0,-,,,,"""vehicle.​electricalSystem.​battery.​serviceDemand.​recharge"": ""Battery recharge required"",",,"""vehicle.​electricalSystem.​battery.​serviceDemand.​recharge"": ""Battery recharge required"","
225,Health status of the battery,This value indicates the health status of the battery. 200 = Adequate health status of the battery 140 = Limited – Battery replacement recommended 110 = Inadequate – Battery replacement required 80 = Degraded – Battery replacement urgently required,Battery,health state,,,vehicle.​electricalSystem.​battery.​serviceDemand.​replace,-,200 140 110 80,-,,,,"""vehicle.​electricalSystem.​battery.​serviceDemand.​replace"": ""Battery health state"",",,"""vehicle.​electricalSystem.​battery.​serviceDemand.​replace"": ""Battery health state"","
226,Low-voltage battery,The value indicates the state of charge of the low-voltage battery in percent measured at the time of data collection.,Battery,charge level (12V),,,vehicle.​electricalSystem.​battery.​stateOfCharge,-,-,%,,,,"""vehicle.​electricalSystem.​battery.​stateOfCharge"": ""Battery charge level (12V)"",",,"""vehicle.​electricalSystem.​battery.​stateOfCharge"": ""Battery charge level (12V)"","
227,Low-voltage battery plausibility,This value indicates whether the measured state of charge of the low-voltage battery in percent is plausible.,Battery,charge level plausibility (12V),,,vehicle.​electricalSystem.​battery.​stateOfChargePlausibility,-,-,-,,,,"""vehicle.​electricalSystem.​battery.​stateOfChargePlausibility"": ""Battery charge level plausibility (12V)"",",,"""vehicle.​electricalSystem.​battery.​stateOfChargePlausibility"": ""Battery charge level plausibility (12V)"","
228,Battery voltage,"The value indicates the current battery voltage in the vehicle's electrical system. This value is always given in voltage, e.g. 14.4 V.",Battery,voltage (12V),,,vehicle.​electricalSystem.​battery.​voltage,float,5 V to 20 V,V,,,,"""vehicle.​electricalSystem.​battery.​voltage"": ""Battery voltage (12V)"",",,"""vehicle.​electricalSystem.​battery.​voltage"": ""Battery voltage (12V)"","
229,48V battery state of health,SoH (State of Health) of the 48V Battery that is shown to the customer. Created to fulfill EU Battery Regulation.,Battery,health state (48V),,,vehicle.​electricalSystem.​battery48V.​stateOfHealth.​displayed,uint16,0% to 250%,percent,,,,"""vehicle.​electricalSystem.​battery48V.​stateOfHealth.​displayed"": ""Battery health state (48V)"",",,"""vehicle.​electricalSystem.​battery48V.​stateOfHealth.​displayed"": ""Battery health state (48V)"","
231,Fault memory,The fault memory provides information about potential errors or technical faults in the vehicle. This information is intended for workshops. Customer-relevant errors that are displayed to the driver in the vehicle can be found under the CarData Element “Check control messages”. Details about this are documented in the operating manual of the vehicle.,Vehicle Info,Fault memory,,,vehicle.​electronicControlUnit.​diagnosticTroubleCodes.​raw,-,The JSON structure is appended at the end of the table (4).,-,,,,"""vehicle.​electronicControlUnit.​diagnosticTroubleCodes.​raw"": ""Vehicle Info Fault memory"",",,"""vehicle.​electronicControlUnit.​diagnosticTroubleCodes.​raw"": ""Vehicle Info Fault memory"","
233,List of optional equipment,This value indicates a list with information about the optional equipment of the vehicle.,Vehicle Info,Optional equipment list,,,vehicle.​extras.​optionalEquipment.​code,-,4-digit number and/or letter code comma-separated from each other.,-,,,,"""vehicle.​extras.​optionalEquipment.​code"": ""Vehicle Info Optional equipment list"",",,"""vehicle.​extras.​optionalEquipment.​code"": ""Vehicle Info Optional equipment list"","
234,Motion status of the vehicle,This value indicates whether the vehicle was in motion at the time of data collection.,Vehicle,Motion state,,,vehicle.​isMoving,boolean,"ASN_isFalse, ASN_isTrue, ASN_isUnknown",-,,,,"""vehicle.​isMoving"": ""Vehicle Motion state"",",,"""vehicle.​isMoving"": ""Vehicle Motion state"","
236,Learning navigation,Displays the learned navigation recommendations (preferred routes and destinations of the customer).,GPS,Learning navigation data,,,vehicle.​learningNavigation,-,Details can be found in the corresponding Swagger documentation: ../learningNavigation,-,,,,"""vehicle.​learningNavigation"": ""GPS Learning navigation data"",",,"""vehicle.​learningNavigation"": ""GPS Learning navigation data"","
238,Vehicle image,This value provides an image of the vehicle as a PNG file.,Vehicle Info,Image,,,vehicle.​look.​image,-,PNG file,-,,,,"""vehicle.​look.​image"": ""Vehicle Info Image"",",,"""vehicle.​look.​image"": ""Vehicle Info Image"","
240,Bidirectional charging capability,Contains the information about the current availability of the BPT (Bidirectional power transfer) function.,Battery EV,Bidirectional charging capability,,,vehicle.​powertrain.​electric.​battery.​biDirectionalCharging.​availability,string,"AVAILABLE, NOT_AVAILABLE, DISABLED_MALIBU, DISABLED_HVS, BPT_AND_IMO_DISABLED, BPT_ONLY_FOR_EMERGENCY_POWER_SUPPLY, DISABLED_IMO_POSSIBLE, DISABLED_LONG_TERM",-,,,,"""vehicle.​powertrain.​electric.​battery.​biDirectionalCharging.​availability"": ""Battery EV Bidirectional charging capability"",",,"""vehicle.​powertrain.​electric.​battery.​biDirectionalCharging.​availability"": ""Battery EV Bidirectional charging capability"","
241,Status of charging limit,This value indicates whether a charging current limit was active at the time of data collection.,Battery EV,Charging limit state,,,vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​isActive,boolean,"AC_LIMIT_INACTIVE, AC_LIMIT_ACTIVE, INVALID",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​isActive"": ""Battery EV Charging limit state"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​isActive"": ""Battery EV Charging limit state"","
242,Maximum charging current,"This value indicates the maximum available charging current, independently of the infrastructure and selected cable.",Battery EV,Maximum charging current,,,vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​max,uint8,"0-250 A, INVALID",A,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​max"": ""Battery EV Maximum charging current"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​max"": ""Battery EV Maximum charging current"","
243,Minimum charging current,"This value indicates the minimum available charging current, independently of the infrastructure and selected cable.",Battery EV,Minimum charging current,,,vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​min,uint8,"0-250 A, INVALID",A,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​min"": ""Battery EV Minimum charging current"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​min"": ""Battery EV Minimum charging current"","
244,Charging current limit,This value indicates the set limit of the charging current in amperes (A).,Battery EV,Charging current limit,,,vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​selected,uint8,"0-252 A, INVALID",A,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​selected"": ""Battery EV Charging current limit"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​acLimit.​selected"": ""Battery EV Charging current limit"","
245,Acoustic limitation of charging process,This value indicates whether charging is limited due to noise emissions.,Battery EV,Acoustic charging limit,,,vehicle.​powertrain.​electric.​battery.​charging.​acousticLimit,string,"NO_ACTION, AUTOMATIC, UNLIMITED,LIMITED",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​acousticLimit"": ""Battery EV Acoustic charging limit"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​acousticLimit"": ""Battery EV Acoustic charging limit"","
246,Battery care mode active,Indicator if the battery care persisted mode is active.,Battery EV,Battery care mode active,,,vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isActive"": ""Battery EV Battery care mode active"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isActive"": ""Battery EV Battery care mode active"","
247,Battery care charge mode,"Charging to departure time starts as late as possible, to reduce the time where the car has a high SoE (State of Energy).",Battery EV,Battery care charge mode,,,vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isPreservingChargingMode,boolean,"true, false",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isPreservingChargingMode"": ""Battery EV Battery care charge mode"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isPreservingChargingMode"": ""Battery EV Battery care charge mode"","
248,Reduced target State of Energy,"Reduce the target SoE (State of Energy) to a defined value, so that the battery doesn't reach high SoEs thus reducing battery aging.",Battery EV,Reduced target state of energy,,,vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isReducedTargetSoe,boolean,"true, false",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isReducedTargetSoe"": ""Battery EV Reduced target state of energy"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​batteryCarePersisted.​isReducedTargetSoe"": ""Battery EV Reduced target state of energy"","
249,Cable check voltage,The voltage reached during intialization cable check.,Battery EV,Cable check voltage,,,vehicle.​powertrain.​electric.​battery.​charging.​cableCheckVoltage,uint16,-,V,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​cableCheckVoltage"": ""Battery EV Cable check voltage"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​cableCheckVoltage"": ""Battery EV Cable check voltage"","
250,DC charging mode active,Active direct Current Charging mode (performance vs. efficient).,Battery EV,DC charging mode,,,vehicle.​powertrain.​electric.​battery.​charging.​dcChargingModeActive,string,"EFFICIENT, STANDARD, PERFORMANCE",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​dcChargingModeActive"": ""Battery EV DC charging mode"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​dcChargingModeActive"": ""Battery EV DC charging mode"","
251,Charging History,"This value shows a list of charging processes performed on the vehicle, which were recorded in the course of the “Charging History” service.",Battery EV,Charging history,,,vehicle.​powertrain.​electric.​battery.​charging.​history.​sessionsList,-,Details can be found in the corresponding Swagger documentation: ../chargingHistory,-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​history.​sessionsList"": ""Battery EV Charging history"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​history.​sessionsList"": ""Battery EV Charging history"","
252,Charging power,The current charging power in Watt. This value should only be considered with respect to the current timestamp.,Battery EV,Charging power,,,vehicle.​powertrain.​electric.​battery.​charging.​power,int32,20 W to 80 W,W,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​power"": ""Battery EV Charging power"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​power"": ""Battery EV Charging power"","
253,"""Smart Charging"" option",This value indicates which “Smart Charging” option is being used to charge with.,Battery EV,Smart charging option,,,vehicle.​powertrain.​electric.​battery.​charging.​preferenceSmartCharging,string,"PRICE_OPTIMIZED, RENEWABLE_ENERGEY, CO2_OPTIMIZED, INVALID",-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​preferenceSmartCharging"": ""Battery EV Smart charging option"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​preferenceSmartCharging"": ""Battery EV Smart charging option"","
